Sample ID	sample	raw_reads	OTZ number	Type	platform	deployment	deployn	depth	duration	goal	rep	diel	uniqueID	uniqueID2	depth_group	depth_group2	temp	oxy	sal	fluor
Annette108-AR043-C002-N2-OTZ-947	AR43_C007_N21	209622	OTZ-947	sample	ctd	C007	7	10	NA	3	1	night	51	7_10	0-200	0-200	13.3044	253.734	35.2938	1.2515
Annette109-AR043-C007-21-OTZ-948	AR43_C007_N22	88200	OTZ-948	sample	ctd	C007	7	10	NA	3	2	night	52	7_10	0-200	0-200	13.3054	253.679	35.2934	1.5821
Annette110-AR043-C001-N12-OTZ-949	AR43_C007_N23	164758	OTZ-949	sample	ctd	C007	7	10	NA	3	3	night	53	7_10	0-200	0-200	13.3185	253.523	35.2972	1.2255
Annette111-AR043-C001-N6-OTZ-950	AR43_C007_N24	103962	OTZ-950	sample	ctd	C007	7	10	NA	3	4	night	54	7_10	0-200	0-200	13.3246	253.309	35.2987	1.6855
Annette104-AR043-C007-6-OTZ-943	AR43_C007_N17	139714	OTZ-943	sample	ctd	C007	7	100	NA	3	1	night	55	7_100	0-200	0-200	13.7887	231.968	35.5483	0.1921
Annette105-AR043-C007-16-OTZ-944	AR43_C007_N18	245644	OTZ-944	sample	ctd	C007	7	100	NA	3	2	night	56	7_100	0-200	0-200	13.7891	232.079	35.5482	0.2166
Annette106-AR043-C007-24-OTZ-945	AR43_C007_N19	156984	OTZ-945	sample	ctd	C007	7	100	NA	3	3	night	57	7_100	0-200	0-200	13.7877	231.844	35.5479	0.2004
Annette107-AR043-C007-8-OTZ-946	AR43_C007_N20	127998	OTZ-946	sample	ctd	C007	7	100	NA	3	4	night	58	7_100	0-200	0-200	13.7873	231.96	35.5481	0.2112
Annette100-AR043-C007-7-OTZ-939	AR43_C007_N13	92003	OTZ-939	sample	ctd	C007	7	300	NA	3	1	night	59	7_300	300-500	200-1000	9.2278	135.894	35.2036	0.0535
Annette101-AR043-C001-N20-OTZ-940	AR43_C007_N14	102628	OTZ-940	sample	ctd	C007	7	300	NA	3	2	night	60	7_300	300-500	200-1000	9.2283	135.847	35.2038	0.03
Annette102-AR043-C001-N14-OTZ-941	AR43_C007_N15	103032	OTZ-941	sample	ctd	C007	7	300	NA	3	3	night	61	7_300	300-500	200-1000	9.2277	135.848	35.2039	0.0467
Annette103-AR043-C002-N3-OTZ-942	AR43_C007_N16	23696	OTZ-942	sample	ctd	C007	7	300	NA	3	4	night	62	7_300	300-500	200-1000	9.2257	135.966	35.2039	0.0401
Annette096-AR043-C001-N23-OTZ-935	AR43_C007_N9	100141	OTZ-935	sample	ctd	C007	7	500	NA	3	1	night	63	7_500	300-500	200-1000	6.4195	196.376	35.0956	0.0395
Annette097-AR043-C001-N7-OTZ-936	AR43_C007_N10	124558	OTZ-936	sample	ctd	C007	7	500	NA	3	2	night	64	7_500	300-500	200-1000	6.457	196.089	35.0965	0.047
Annette098-AR043-C007-23-OTZ-937	AR43_C007_N11	86541	OTZ-937	sample	ctd	C007	7	500	NA	3	3	night	65	7_500	300-500	200-1000	6.4544	195.923	35.0967	0.0422
Annette099-AR043-C007-3-OTZ-938	AR43_C007_N12	159568	OTZ-938	sample	ctd	C007	7	500	NA	3	4	night	66	7_500	300-500	200-1000	6.458	195.958	35.0972	0.038
Annette092-AR043-C002-N8-OTZ-931	AR43_C007_N5	167832	OTZ-931	sample	ctd	C007	7	800	NA	3	1	night	67	7_800	800-1000	200-1000	4.6333	245.002	34.9845	0.0365
Annette093-AR043-C002-N5-OTZ-932	AR43_C007_N6	132490	OTZ-932	sample	ctd	C007	7	800	NA	3	2	night	68	7_800	800-1000	200-1000	4.6332	244.858	34.9845	0.0332
Annette094-AR043-C002-N22-OTZ-933	AR43_C007_N7	206954	OTZ-933	sample	ctd	C007	7	800	NA	3	3	night	69	7_800	800-1000	200-1000	4.6323	244.623	34.9845	0.0443
Annette095-AR043-C002-N6-OTZ-934	AR43_C007_N8	101962	OTZ-934	sample	ctd	C007	7	800	NA	3	4	night	70	7_800	800-1000	200-1000	4.6328	244.9	34.9844	0.03
Annette088-AR043-C002-Control-OTZ-927	AR43_C007_N1	146353	OTZ-927	sample	ctd	C007	7	1000	NA	3	1	night	71	7_1000	800-1000	200-1000	4.3773	251.912	34.9763	0.0288
Annette089-AR043-C001-N18-OTZ-928	AR43_C007_N2	145266	OTZ-928	sample	ctd	C007	7	1000	NA	3	2	night	72	7_1000	800-1000	200-1000	4.3784	252.216	34.9764	0.0292
Annette090-AR043-C001-N10-OTZ-929	AR43_C007_N3	165736	OTZ-929	sample	ctd	C007	7	1000	NA	3	3	night	73	7_1000	800-1000	200-1000	4.3796	251.859	34.9765	0.0363
Annette091-AR043-C001-N16-OTZ-930	AR43_C007_N4	153447	OTZ-930	sample	ctd	C007	7	1000	NA	3	4	night	74	7_1000	800-1000	200-1000	4.3798	251.91	34.9768	0.044
Annette112-AR043-C007-1-OTZ-951	AR43_C007_Control	3498	OTZ-951	control	ctd	C007	7	NA	NA	3	NA	night	75	7_NA						
