,0
195d6b4eb700756415c0c4221936a14e,3157.0
0ace6329482bccaaf21a7aa3979f0c80,3078.0
fed6612702b3daf64510eee149b65bce,3051.0
92839645917904613bca1f983e78d5b5,3044.0
7edcd5fe143a255ab8cc01fb349ddc31,2939.0
87a786851e561816a68e7d7bd678d157,2920.0
f39e8b0a2b618689bf1e009228ee6297,2809.0
3dd090acee9bf031202788f7dab31dd5,2780.0
494119ecb7a78d1a0fb35d9894e1d24c,2730.0
61d830458a1b4acbb6e1df0b7e947213,2695.0
9db89a0a80cd2070c43ab3acd7a0704a,2677.0
69e35e0114bb404d00b50bbd887b2eab,2636.0
a5355c81a882a43fe4240bcfedb25e6c,2606.0
bb151f740fdeb3c764b6d9208f67e00e,2589.0
26dc09ffcb80f235a5a9905df0e1712c,2403.0
c26abea006915c8c3d472002c81ec9da,2351.0
06e82343a44c1983bfeaf71619cf389c,2343.0
c783af1493b5235de3684fc3571aa7f5,2310.0
a802fe849bdde172fea6bd3dc03f4f6b,2300.0
3b0e0a112337f2c65f0c9fc2f3c2ad8a,2295.0
abd9e0b3252ad8891b3bbac25ea8d54f,2196.0
3d79b38d964a7b1efacf7101f3ab05a6,2182.0
f8454e47912d078f66e90dc8c250c1ad,2176.0
2199bf9e1ee28a1d925125ecc544bb1b,2144.0
929c893830ac756665360b27c675e6f0,2101.0
b818e62b984d0b0324cea7131630cee7,2099.0
737d2dbc128b104211dde0a9b0695407,2080.0
423ee58831514c19abedd989b7ff398b,2060.0
55f7f4d459c4602a0eaca1bf3ad1aa49,2056.0
fb51b262a3a1515c5ddc2586044ee818,2054.0
817d96bace1cc0a47d75c896cb81ca4e,2040.0
ae4a8fd23afe3d49786a998d36d11a53,2023.0
aa20a176955fff044f8028cd6635cc1d,2011.0
8ca49a7eb804299122889237195ac663,2003.0
2c5ed6346c844dc91935f297c1ff9f5b,1969.0
02b305dc3a723a1abec789eb54c03c6a,1896.0
dba31e9bedf8d9221a41a30f923d57fe,1872.0
43249f7c4da763654840a937c8f1da22,1871.0
1c8b74b6f1d7459c727868c7e17f1ae9,1848.0
