Sample ID	OTZ number	sample	reads	Type	Cruise	platform	cast	deployment	depth	experiment	diel	unique_id	rep	depth_group2	depth_group	temp	oxy	sal	fluor
OTZ-12S-1727	OTZ-1727	AR43_C007_N2	170468	sample	AR43	ctd	7	C007	1000	ctd	night	7_1000	1	200-1000	800-1000	4.3784	252.216	34.9764	0.0292
OTZ-12S-1745	OTZ-1745	AR43_C007_N3	143988	sample	AR43	ctd	7	C007	1000	ctd	night	7_1000	2	200-1000	800-1000	4.3796	251.859	34.9765	0.0363
OTZ-12S-1763	OTZ-1763	AR43_C007_N4	98906	sample	AR43	ctd	7	C007	1000	ctd	night	7_1000	3	200-1000	800-1000	4.3798	251.91	34.9768	0.044
OTZ-12S-1766	OTZ-1766	AR43_C007_Control	87825	control	AR43	ctd	7	C007	NA	ctd	night								
OTZ-12S-1772	OTZ-1772	Positive Control	173740	control-p	AR43	ctd	NA	C007	NA	ctd	NA								
OTZ-12S-1773	OTZ-1773	AR43 C001 Pos/neg	106327	control-pn	AR43	ctd	NA	C007	NA	ctd	NA								
OTZ-12S-1774	OTZ-1774	AR43 C007 Pos/neg	144848	control-pn	AR43	ctd	NA	C007	NA	ctd	NA								
OTZ-12S-1624	OTZ-1624	EN688 C04 N22	14087	sample	EN688	ctd	4	C007	26	nighttime high-res	night	4_26							
OTZ-12S-1611	OTZ-1611	EN688 C04 N20	139656	sample	EN688	ctd	4	C007	45	nighttime high-res		4_45							
OTZ-12S-1610	OTZ-1610	EN688 C04 N19	85194	sample	EN688	ctd	4	C007	55	nighttime high-res		4_55							
OTZ-12S-1609	OTZ-1609	EN688 C04 N17	210630	sample	EN688	ctd	4	C007	76	nighttime high-res		4_76							
OTZ-12S-1608	OTZ-1608	EN688 C04 N16	56463	sample	EN688	ctd	4	C007	90	nighttime high-res		4_90							
OTZ-12S-1607	OTZ-1607	EN688 C04 N14	36388	sample	EN688	ctd	4	C007	119	nighttime high-res		4_119							
OTZ-12S-1606	OTZ-1606	EN688 C04 N12	133374	sample	EN688	ctd	4	C007	149	nighttime high-res		4_149							
OTZ-12S-1605	OTZ-1605	EN688 C04 N9	105903	sample	EN688	ctd	4	C007	200	nighttime high-res		4_200							
OTZ-12S-1604	OTZ-1604	EN688 C04 N7	109945	sample	EN688	ctd	4	C007	250	nighttime high-res		4_250							
