,0
6012dbf9854989bdf326e5115226236b,546.0
ee72532e36f9fd5c46940b50cdaf6fcf,537.0
8591639689c19759db97a6beac01293a,532.0
268d84d4df973e6d848ce4e653550029,518.0
715a0951fc8cb2f996baa81b5740378a,510.0
5975fdafffed16db3ab5194d2076fcf6,501.0
071fb19ec0a465e020047ce6341ef450,500.0
af45d7945a07c23967f5430fabb10318,478.0
4c385c425d55a6e1af509b9745d776a0,415.0
4669c006de0b3a7bafcc6f1a7f112f80,410.0
075376a50f01c6da8c946733dd900e19,400.0
f8e788fae61df6ef0b3f087f776b1c33,397.0
2b80762289249aaa64abb7d0b91cc660,385.0
c767bb0686e192e049eeb1c1911431a9,385.0
b3a8ed588b50de7ea7fec9913ff9ba64,374.0
cab270a65950d05aaa41e4500d90445c,365.0
c0bf2cc64f73aff0718f7e7d868bf0d0,360.0
ca54adb5e80024458d3a65e5d0dd1044,354.0
dda490c620aa1cec7d7c982779cdd1c7,350.0
c47881cf033a3bb4a1ef72f6f64588dc,345.0
7b29611803135c392e4a5a1b5e192359,341.0
2f95b92e4fe4d6919de0eb86c095c2b4,333.0
a0c2aee256d6b678365c9ced0373188e,332.0
dbf305dbafe365cc99ecc4eadc7444d4,329.0
74275fdce00c75de68b49b0a70daf9c0,302.0
270ecc92a2c140a93821eb8bd4e57ada,296.0
a6c29b08b776bdd5add292495cc409b8,294.0
ff6d690d0a3755e34e3f24e583e19c93,274.0
a3a9fb034681647cb6b08783d925b5a7,273.0
b686f40db36d4687cad71ec1b912890c,272.0
1d803c600a9d717ef2301f1587744315,265.0
271ee788d2a3dfdaa2c40fb5729111d2,247.0
2b39687299b13e26c3570e47067e3e2f,243.0
263ab5c30d60545afd8aaf5b6fa375cb,243.0
56692389bb78a568da9fbad10e9d0c8a,240.0
94d2cdd5e1d81d8b60ffafe129d84271,240.0
ba50a7396ee9d40bfadc7d4ad23d4a25,240.0
dfdbba6227b19dc0a21f1c6e332faf1f,225.0
fd9b07ebdf595d197d6977d2f60bca73,221.0
e78111a7506a679ea5e3c09e2199ac94,209.0
